titleNo,assgNo,fixcount,firstPassCnt,P1stFixation,P2stFixation,prevFixDur,firstfixDur,firstPassFixDur,nextFixDur,firstSaccLen,lastSaccLen,prevFixPos,landingPos,leavingPos,totalFixDur,meanFixDur,nRegressFrom,regressLen,nextWordRegress,regressDur,pupilDiamMax,pupilDiamLag,timePrtctg,target
1,1,1.0,1.0,1.0,0.0,166.8,194.8,194.8,190.8,159.97496,276.34662,112.80466000000001,76.5059,73.00558,194.8,194.8,0.0,0.0,0.0,0.0,0.05349999999999999,0.1857,0.02546,0
1,10,1.0,1.0,1.0,0.0,159.25,209.0,209.0,228.75,88.9521,167.41637500000002,51.130375,61.058025,63.9102,209.0,209.0,0.0,0.0,0.0,0.0,-0.010225000000000001,0.04965,0.035775,0
1,100,1.0,1.0,1.0,0.0,139.0,165.66666666666666,165.66666666666666,192.0,235.2586,388.70959999999997,184.86076666666668,88.6318,89.40053333333333,165.66666666666666,165.66666666666666,0.0,0.0,0.3333333333333333,0.0,0.09800000000000002,0.1785,0.022466666666666666,0
1,101,2.0,2.0,1.0,0.0,109.5,139.0,219.0,109.5,257.3696,243.6547,225.58085,63.70995,52.5333,219.0,119.33335,0.0,0.0,0.0,0.0,0.20375,0.5545,0.0565,0
1,102,1.0,1.0,1.0,0.0,109.0,114.0,114.0,119.0,337.709425,288.41915,326.6272,51.808125000000004,57.4324,114.0,114.0,0.0,0.0,0.0,0.0,0.13225,0.266125,0.02035,0
1,103,1.25,1.25,0.5,1.0,74.75,119.0,153.75,119.75,297.69655,280.9482,319.57265,62.06785,57.12345,149.0,119.25,0.25,20.0,0.5,40.0,0.361125,0.33875,0.020749999999999998,0
1,104,1.25,1.25,1.0,0.5,228.5,233.25,268.0,278.0,189.11195,250.30925000000002,184.433925,61.888925,54.553425000000004,392.5,347.75,0.0,0.0,0.0,536.0,0.411925,0.4403,0.0866,2
1,105,1.0,1.0,1.0,0.0,219.0,119.0,119.0,119.0,31.0644,299.1927,72.9178,56.0045,66.8824,119.0,119.0,0.0,0.0,0.0,238.0,0.2263,0.1443,0.0271,1
1,107,1.0,1.0,1.0,0.0,119.0,100.0,100.0,159.0,83.2721,377.002,113.8991,90.667,100.5112,100.0,100.0,0.0,0.0,0.0,0.0,0.4268,0.1743,0.0301,0
1,108,1.0,1.0,1.0,0.0,225.33333333333334,238.66666666666666,238.66666666666666,165.66666666666666,364.16976666666665,511.3350666666667,329.928,95.2045,94.43793333333333,238.66666666666666,238.66666666666666,0.0,0.0,0.0,0.0,0.26413333333333333,0.1988,0.04583333333333334,0
1,109,1.3333333333333333,1.3333333333333333,1.0,0.0,112.66666666666667,99.33333333333333,126.0,112.33333333333333,141.09046666666666,154.65373333333335,102.81276666666668,71.8355,61.04456666666667,126.0,99.33333333333333,0.0,0.0,0.0,0.0,0.46449999999999997,0.5365,0.03153333333333334,1
1,11,1.0,1.0,1.0,0.0,174.0,223.75,223.75,189.0,211.330125,370.2189,144.951125,109.618325,104.41482500000001,223.75,223.75,0.0,0.0,0.0,447.5,-0.004350000000000001,0.0634,0.0206,0
1,110,1.0,1.0,1.0,0.0,248.5,213.5,213.5,233.25,164.373375,271.676,106.72777500000001,87.2055,81.71537500000001,213.5,213.5,0.0,0.0,0.0,0.0,0.326875,0.42425,0.03295,0
1,111,1.0,1.0,1.0,0.0,107.2,131.0,131.0,135.0,218.84539999999998,254.3065,198.34676,54.159220000000005,52.08196,127.0,127.0,0.4,67.4,0.2,115.0,0.3822,0.4486,0.020479999999999998,1
1,112,1.1,1.0,0.4,0.9,115.2,133.1,133.1,111.2,295.86097,272.3678,254.54389999999998,75.25876,70.13463,149.0,137.1,0.5,265.7,0.2,97.3,0.46449999999999997,0.4716,0.04603,2
1,113,1.0,1.0,1.0,0.0,86.33333333333333,92.66666666666667,92.66666666666667,125.66666666666667,214.1743,361.1981333333333,205.1089333333333,60.34353333333333,73.86753333333333,92.66666666666667,92.66666666666667,0.0,0.0,0.0,0.0,0.3858333333333333,0.1465,0.02666666666666667,1
1,114,1.2,1.0,0.8,0.4,67.4,107.4,107.4,83.4,188.77800000000002,276.866,159.62096000000003,64.24086,70.39932,147.0,113.3,0.4,32.0,0.0,301.6,0.8257,0.3417,0.0459,2
1,115,1.0,1.0,1.0,0.0,89.5,199.0,199.0,169.0,101.2423,226.7077,52.5095,95.89005,93.20295,199.0,199.0,0.0,0.0,0.0,0.0,0.38475000000000004,0.375,0.0405,0
1,117,1.0,1.0,1.0,0.0,80.0,318.0,318.0,119.0,72.6034,379.8585,114.9652,79.0759,76.2512,318.0,318.0,0.0,0.0,0.0,0.0,0.4406,0.2196,0.0904,0
1,118,1.0,1.0,1.0,0.0,199.0,238.0,238.0,119.0,82.0686,107.3709,89.8944,14.1598,13.6473,238.0,238.0,0.0,0.0,0.0,0.0,0.3093,0.3768,0.074,1
1,119,1.0,1.0,1.0,0.0,149.0,119.5,119.5,169.0,148.46415,257.9267,151.72115,116.233,95.01775,119.5,119.5,0.0,0.0,0.0,0.0,0.3128,0.3433,0.0332,0
1,12,1.0,1.0,1.0,0.0,123.2,186.8,186.8,230.6,148.01547999999997,215.05285999999995,128.99048,75.45917999999999,73.39588,194.8,194.8,0.4,67.6,0.6,103.4,0.0952,0.2433,0.035160000000000004,1
